,Job_Id,Emp_Type,Job_Title,Company,Date_Posted,Salary_Range,Salary_Type,Year_Experience,Seniority,Category,Requirements
10,[b'MCF-2020-0072935'],[b'Full Time'],[b'Lead Backend Engineer '],[b'HMLET CENTRAL PTE. LTD.'],[b'Posted 27 Mar 2020'],"[b'<div class=""lh-solid""><span class=""dib"">$8,000</span><span class=""dib""><span class=""f5 fw4 ph1"">to</span>$13,000</span></div>']",[b'Monthly'],[b'4 years  exp'],[b'Manager'],[b'Engineering'],"['\nLeading and mentoring your team of backend engineers\n\nProviding technical direction within your team and influencing the directions of outside teams\n\nParticipating in code and design reviews to maintain our high development standards\n\nWorking with the engineering team to explore and create new design/architectures geared towards scale and performance\n\nDesigning, developing, testing, deploying, maintaining and improving high-quality software\n\nManaging individual project priorities, deadlines, and deliverables.\n\n, \nTertiary qualifications in Computer Science/Engineering, similar technical field of study or relevant practical experience.\n\nA minimum of 3 years experience in a similar role\n\nSoftware development experience in one or more object-oriented programming languages.\n\nExperience working with two or more from the following: web or mobile application development, Unix/Linux environments, machine learning, information retrieval, natural language processing, networking, and/or security software development.\n\nWorking proficiency and communication skills in written and verbal English\n\n']"
11,[b'MCF-2020-0072924'],[b'Full Time'],[b'Research Assistant  /  Research Fellow (RE: DOB-WQ)'],[b'NATIONAL UNIVERSITY OF SINGAPORE'],[b'Posted 27 Mar 2020'],"[b'<div class=""lh-solid""><span class=""dib"">$2,800</span><span class=""dib""><span class=""f5 fw4 ph1"">to</span>$5,000</span></div>']",[b'Monthly'],[],[b'Fresh/entry level'],[b'Building and Construction'],['']
12,[b'MCF-2020-0072869'],"[b'Contract, Full Time']",[b'Research Fellow  /  Senior Research Fellow'],[b'NATIONAL UNIVERSITY OF SINGAPORE'],[b'Posted 27 Mar 2020'],"[b'<div class=""lh-solid""><span class=""dib"">$4,500</span><span class=""dib""><span class=""f5 fw4 ph1"">to</span>$7,000</span></div>']",[b'Monthly'],[],[b'Non-executive'],"[b'Engineering, Sciences / Laboratory / R&amp;D']","['\nCollaborating with partners from both the academia and the industry to lead and/or conduct innovative research on, but not limited to the following topics: -\n\n, \nContribute to academic research in the relevant domains, and publish high-tier journal papers and conference papers.\n\nLead student projects and industrial projects with implementable outcomes.\n\nRespond to the deliverables of research and industrial projects.\n\n, \nA PhD degree or to be graduated with PhD degree in Industrial Engineering, Computer Science, Operations Research, Statistics and Mathematics, or in other relevant science and engineering disciplines.\n\nOutstanding data analytics, mathematical, and computer modelling skills.\n\nOutstanding academic/publication records.\n\nProficient in communication and academic writing.\n\nSelf-driven and strong team spirit.\n\n, \nGood knowledge on the following subjects: -\n\n, \nHigh-tier journal publication potential.\n']"
13,[b'MCF-2020-0072820'],[b'Permanent'],[b'Data Scientist - Self Serve Ads'],[b'TWITTER ASIA PACIFIC PTE. LTD.'],[b'Posted 27 Mar 2020'],"[b'<div class=""lh-solid""><span class=""dib"">$8,500</span><span class=""dib""><span class=""f5 fw4 ph1"">to</span>$9,500</span></div>']",[b'Monthly'],[b'2 years  exp'],[b'Junior Executive'],[b'Information Technology'],"['\nBecome an expert on the data sources and systems at Twitter.\nAnalyze internal and external data, synthesize raw information into insights, recommendations, dashboards, and reports.\nPartner with Product, Engineering, Marketing, Sales and Customer Success teams to help resolve broader business problems through data and analytics.\nBuild, maintain and improve analytical algorithms and models that translate data into revenue.\nClearly communicate findings to senior management and to the broader organization.\n, \nBA/BS degree with a quantitative focus (computer science, mathematics, statistics, etc.), advanced degrees highly preferred\n2+ years of work experience in predictive analytics/statistical modeling/machine learning/data mining\nExperience interacting with #BigData data sources, using a combination of SQL/NoSQL technologies: Pig/Hive/Map-Reduce/Scalding/Spark/Vertica\nExperience with at least one programming languages such as Python, Java, Scala, C++\nKnowledge of digital ad space or social media data preferred\n']"
14,[b'MCF-2020-0072721'],[b'Contract'],[b'Data Scientist'],[b'KRIS INFOTECH PTE. LTD.'],[b'Posted 27 Mar 2020'],"[b'<div class=""lh-solid""><span class=""dib"">$7,500</span><span class=""dib""><span class=""f5 fw4 ph1"">to</span>$9,000</span></div>']",[b'Monthly'],[b'5 years  exp'],[b'Non-executive'],[b'Information Technology'],['']
15,[b'MCF-2020-0072533'],[b'Full Time'],[b'Customer Success Manager'],[b'YOJEE OPS PTE. LTD.'],[b'Posted 27 Mar 2020'],"[b'<div class=""lh-solid""><span class=""dib"">$7,600</span><span class=""dib""><span class=""f5 fw4 ph1"">to</span>$9,100</span></div>']",[b'Monthly'],[b'5 years  exp'],[b'Manager'],[b'Customer Service'],"['\nHelp shape the business, become the trusted advisor internally for Implementation\nDynamic, innovative culture with significant growth plans\n, \nSupports pre-sales by demonstrating value to customers during the sales process\nAssists with demos\nHandles technical, integration design and product roadmap questions\nWork with clients to accelerate time to value realisation\nUnderstand client business environment and objectives and translate into operation plan\nAssists in structuring commercial deals for enterprise customers\nResponsible for moving customers from sales to support\nWorks with product and tech team to coordinate\nOnboards the customer\nExtracts value from the transaction\nMeasures customer feedback\nInterface between customer and product\nManages customer relationship ongoing\nUnderstand Yojee’s target client profile and articulate the ways in which our product(s) and advanced technology add value for our clients.\nSigns off on product releases before they go to production.\nCollaborate with the sales team to ensure the highest level of service possible\nIntroduce tools and automation to streamline customer onboarding\nGenerate content for customer use including\nQuick Reference Guides\nSelf Help Videos\nDocument customer requirements\nManage customer projects\nManage zendesk feedback\nTransition customer to Tech success\nTrack customer volumes\nUse competitive intelligence, client feedback, sales feedback and market trends to help our Product and Engineering teams deliver additional value for our clients.\n, \nSingaporeans and PR (permanent resident) are encouraged to apply for this position\n7+ years of experience preferred\nStrong track record in managing implementation of SaaS for clients\nExcellent project management skills\nSuperb communication skills and ability to influence stakeholders\nStrong attention to detail\nChange exposure and able to predict the impact of change and act accordingly\nExposure to supply chain and logistics industry\nBig 4 consulting or Tier 1 SaaS experience looked upon favorably\nMotivated to build and implement new processes from 0-1. Strategic thinking and ground floor execution - no job is too big or too small.\nThe desire to lead, train, and develop up and coming industry talent.\xa0 Strong people management experience required.\n']"
16,[b'MCF-2020-0072375'],"[b'Contract, Full Time']","[b'Senior /  Research Engineer (Machine Intellection), I2R']",[b'A*STAR RESEARCH ENTITIES'],[b'Posted 26 Mar 2020'],"[b'<div class=""lh-solid""><span class=""dib"">$3,900</span><span class=""dib""><span class=""f5 fw4 ph1"">to</span>$7,800</span></div>']",[b'Monthly'],[],[b'Professional'],[b'Sciences / Laboratory / R&amp;D'],"['\nBiomarker detection and clustering; and\nCorrelation analysis.\n, \n2/3D image segmentation;\nImage based measurement;\nGene sequence analysis;\nAnomaly detection etc\n, \nBachelors or Masters in Computer Science, Statistics, or Data Science intensive fields\nStrong knowledge in deep learning applied to healthcare domain;\nExpertise in one or more healthcare and medicine topics, such as survival rate prediction, biomarker detection, and image based segmentation, etc.\nAbility to work independently, as well as in teams highly desired.\nGood communication skills for proposals, reports, and publications.\nProficiency in spoken and written English.\nStrong programming abilities (e.g. Perl, Bash, C/C++, Java, Python, R, MATLAB).\nExperience with one of TensorFlow, Pytorch, Theano, Caffe, CNTK Skills\nExperience with machine learning at scale is a plus\n']"
17,[b'MCF-2020-0072372'],"[b'Contract, Full Time']","[b'Senior /  Research Engineer (Machine Intellection), I2R']",[b'A*STAR RESEARCH ENTITIES'],[b'Posted 26 Mar 2020'],"[b'<div class=""lh-solid""><span class=""dib"">$3,000</span><span class=""dib""><span class=""f5 fw4 ph1"">to</span>$5,500</span></div>']",[b'Monthly'],[],[b'Fresh/entry level'],[b'Sciences / Laboratory / R&amp;D'],"['\nBiomarker detection and clustering; and\nCorrelation analysis.\n, \n2/3D image segmentation;\nImage based measurement;\nGene sequence analysis;\nAnomaly detection etc\n, \nBachelors or Masters in Computer Science, Statistics, or Data Science intensive fields\nStrong knowledge in deep learning applied to healthcare domain;\nExpertise in one or more healthcare and medicine topics, such as survival rate prediction, biomarker detection, and image based segmentation, etc.\nAbility to work independently, as well as in teams highly desired.\nGood communication skills for proposals, reports, and publications.\nProficiency in spoken and written English.\nStrong programming abilities (e.g. Perl, Bash, C/C++, Java, Python, R, MATLAB).\nExperience with one of TensorFlow, Pytorch, Theano, Caffe, CNTK Skills\nExperience with machine learning at scale is a plus\n']"
18,[b'MCF-2020-0072479'],[b'Contract'],[b'Business /  Data Analyst for Corporate Credit Risk (ref: af)'],[b'A-IT SOFTWARE SERVICES PTE LTD'],[b'Posted 26 Mar 2020'],"[b'<div class=""lh-solid""><span class=""dib"">$5,000</span><span class=""dib""><span class=""f5 fw4 ph1"">to</span>$8,000</span></div>']",[b'Monthly'],[b'3 years  exp'],[b'Professional'],"[b'Banking and Finance, Information Technology']","['\nUnderstand how the Credit systems work end to end.\nUnderstand how the internal Credit systems integrate / interact with other credit systems, product source systems and front-end workflow systems for wholesale banking relationship managers and credit risk managers.\nDefine/ collate business requirements, prepare functional requirements, write User Stories and initiate User Requests (Request for Service) on behalf of the business and risk management / credit units.\n, \nPlan for test scenarios, perform pre-UAT sanity checks and co-ordinate with end-users to perform UAT.\nConduct training for new and existing system related processes and functionality.\nMaintain business related documentation for the credit systems including requirements, user guides, Frequently Asked Questions, and ensure these are updated to the Intranet for on-going access by credit and business users.\nPerform any other business specific tasks in the project schedule including data analysis, user interviews/ surveys, maintain system configuration, preparation of user reports and Live Verification.\nWork closely with Technology support & delivery teams to ensure that user requirements are delivered successfully.\n, \nUnderstand internal DBS data and collect relevant external data\nIdentify required data for project and analyze, clean-up and transform/ prepare it for processing\nObtain insights into the data and prepare clear visualization to present findings\nUsing data-driven insights, make recommendations to address potential business problems or innovate to stay ahead of industry trends\nUnderstand the different types of data analytics and use of Machine Learning\n, \nDegree in Banking, Commerce or Information Systems-related field with at least 3 years’ relevant experience.\nAt least 2 years’ prior experience as business analyst and data analyst handling end to end delivery. Excellent people management skill.\nAble to understand and articulate business objectives, risk and dependencies.\nGood at defining and defending scope.\nNot afraid to escalate issues.\nExperience in wholesale banking / Credit risk projects preferred.\nProduct knowledge and prior experience on Wholesale / Corporate Banking, Loans, Trade and Treasury and Markets preferred.\nKnowledge of credit products, risk monitoring / control processes and credit processing systems of banks preferred.\nPrior experience with Data Analytics/ Machine Learning project/ application preferred.\nPrior experience working in AGILE methodology preferred\nPrior experience with MS Access, Excel, Java Scripts, R and Phyton.\n']"
19,[b'MCF-2020-0072415'],"[b'Contract, Full Time']",[b'Business &amp; Data Analyst (Ref:JT)'],[b'A-IT SOFTWARE SERVICES PTE LTD'],[b'Posted 26 Mar 2020'],"[b'<div class=""lh-solid""><span class=""dib"">$6,000</span><span class=""dib""><span class=""f5 fw4 ph1"">to</span>$8,000</span></div>']",[b'Monthly'],[b'3 years  exp'],[b'Professional'],"[b'Banking and Finance, Information Technology']","['\nTo undertake business analyst and data analyst role in selected Corporate Credit Risk related projects and BAU Business Support for business and credit users from time to time as required.\n, \nTo translate business problems into analytics use cases and recommend digital solutions to Business and Product Owners.\n, \nUnderstand how the Credit systems work end to end.\nUnderstand how the internal Credit systems integrate / interact with other credit systems, product source systems and front-end workflow systems for wholesale banking relationship managers and credit risk managers.\nDefine/ collate business requirements, prepare functional requirements, write User Stories and initiate User Requests (Request for Service) on behalf of the business and risk management / credit units. Review business process supported by \xa0the credit systems to optimize efficiency.\nPlan for test scenarios, perform pre-UAT sanity checks and co-ordinate with end-users to perform UAT.\nConduct training for new and existing system related processes and functionality.\nMaintain business related documentation for the credit systems including requirements, user guides, Frequently Asked Questions, and ensure these are updated to the Intranet for on-going access by credit and business users.\nPerform any other business specific tasks in the project schedule including data analysis, user interviews/ surveys, maintain system configuration, preparation of user reports and Live Verification.\nWork closely with Technology support & delivery teams to ensure that user requirements are delivered successfully.\n, \nUnderstand internalBank’s data and collect relevant external data\nIdentify required data for project and analyze, clean-up and transform/prepare it for processing\nObtain insights into the data and prepare clear visualization to present findings\nUsing data-driven insights, make recommendations to address potential business problems or innovate to stay ahead of industry trends\nUnderstand the different types of data analytics and use of Machine Learning\n, \n\xa0Degree in Banking, Commerce or Information Systems-related field with at least 3 years’ relevant experience.\nAt least 2 years’ prior experience as business analyst and data analyst handling end to end delivery.\nExcellent people management skill.\nAble to understand and articulate business objectives, risk and dependencies.\nGood at defining and defending scope.\nNot afraid to escalate issues.\nExperience in wholesale banking / Credit risk projects preferred.\nProduct knowledge and prior experience on Wholesale / Corporate Banking, Loans, Trade and Treasury and Markets preferred.\nKnowledge of credit products, risk monitoring / control processes and credit processing systems of banks preferred.\nPrior experience with Data Analytics/ Machine Learning project/ application preferred.\nPrior experience working in AGILE methodology preferred\n\xa0Prior experience with MS Access, Excel, Java Scripts, R and Phyton.\n, \nStrong leadership, communication, presentation and analytical skills.\nTask oriented and follow through with attention to detail.\nStrong discipline to adhere to procedures and standards.\nTolerance for ambiguity and job stress.\nClear, analytical mind and good/ creative problem-solving skills required.\nFast learner who can work independently with minimal guidance.\nTenacious.\nCan prioritize work quickly.\nMaintains good relationships at all levels – junior to senior.\nGood listener.\nAble to distill IT speak into business language and vice-versa.\nSolution oriented, not problem oriented.\n']"
20,[b'MCF-2020-0072378'],"[b'Contract, Full Time']","[b'Research Engineer (Deep Learning 2.0), I2R']",[b'A*STAR RESEARCH ENTITIES'],[b'Posted 26 Mar 2020'],"[b'<div class=""lh-solid""><span class=""dib"">$3,900</span><span class=""dib""><span class=""f5 fw4 ph1"">to</span>$7,800</span></div>']",[b'Monthly'],[],[b'Fresh/entry level'],[b'Sciences / Laboratory / R&amp;D'],"['\nMinimum Bachelor in Computer Science, Statistics, or Data Science intensive fields, with expertise in one or more of the following areas:\n, \nExperience in corporate or application oriented environments is a plus\nAbility to work independently, as well as in teams highly desired\nGood communication skills for proposals, reports, and publications\nExperience with one of Tensor Flow, Theano, Caffe, CNTK. Skills\nStrong programming abilities (e.g. Perl, Bash, C/C++, Java, Python, R, MATLAB)\nComputer vision and deep learning skills desirable\n']"
21,[b'MCF-2020-0071871'],"[b'Contract, Full Time']",[b'Research Engineer (Computer Science / Aerospace Engineering / Applied Mathematics) R00001676 '],[b'NANYANG TECHNOLOGICAL UNIVERSITY'],[b'Posted 26 Mar 2020'],"[b'<div class=""lh-solid""><span class=""dib"">$4,500</span><span class=""dib""><span class=""f5 fw4 ph1"">to</span>$6,000</span></div>']",[b'Monthly'],[b'2 years  exp'],[b'Professional'],[b'Sciences / Laboratory / R&amp;D'],"[""\nConduct research and development related to Artificial Intelligence and Machine Learning applied to Air Traffic Management (ATM)\nDevelop algorithms and models, perform data processing & mining, and perform analytics for future ATM systems\nProvide support on the implementation and verification of an AI-based Remote Tower Control assistance system\n, \nBachelor’s Degree or higher in Computer Science, Aerospace Engineering or Applied Mathematics (Bachelor's Degree with minimum four years of work experience; Master's Degree with minimum two years of work experience)\nDeep understanding and experience in the theory and application of AI and Machine Learning techniques\nProgramming Experience and knowledge of Python, Matlab, R and/or C++\nDemonstrated project experience related to Airport or Air Traffic Management will be advantageous to the role\nExperience of sound Software Engineering practices, including data management, software version control and database design will be a advantageous to the role\nUnderstanding of statistical methods and/or probability theory will be a plus\nGood English writing and communication skills\nIndependent and team player\n""]"
22,[b'MCF-2020-0072145'],"[b'Permanent, Full Time']",[b'Research Associate / Engineer'],[b'HANALYTICS PTE. LTD.'],[b'Posted 26 Mar 2020'],"[b'<div class=""lh-solid""><span class=""dib"">$3,600</span><span class=""dib""><span class=""f5 fw4 ph1"">to</span>$6,000</span></div>']",[b'Monthly'],[],[b'Fresh/entry level'],[b'Engineering'],"['\nSome of the things you will learn:\nComputer Vision / Image Segmentation, Localisation, Classification\nDeep Learning Techniques, Research Techniques, Paper Writing\nTensor Flow or Theano or Torch\nPython, C++ or Java\nNumpy, Pandas, Sklearn, Scipy, Seaborn\nBuilding Deep Learning Models like RNN and CNN and Other Neural Network Models\n']"
