Emp_Type,Job_Title,Company,Date_Posted,Salary_Type,Year_Experience,Seniority,Category,Requirements,Min_Salary,Max_Salary,Avg_Salary
"Contract, Full Time","Research Engineer (Deep Learning 2.0), I2R",A*STAR RESEARCH ENTITIES,Posted 26 Mar 2020,Monthly,,Fresh/entry level,Sciences / Laboratory / R&D,"Minimum Bachelor in Computer Science, Statistics, or Data Science intensive fields, with expertise in one or more of the following areas:, Experience in corporate or application oriented environments is a plusAbility to work independently, as well as in teams highly desiredGood communication skills for proposals, reports, and publicationsExperience with one of Tensor Flow, Theano, Caffe, CNTK. SkillsStrong programming abilities (e.g. Perl, Bash, C/C++, Java, Python, R, MATLAB)Computer vision and deep learning skills desirable",3900.0,7800.0,5850.0
"Contract, Full Time",Research Fellow (Mechanical Engineering) (R00001732),NANYANG TECHNOLOGICAL UNIVERSITY,Posted 26 Mar 2020,Monthly,5 years  exp,Professional,Sciences / Laboratory / R&D,"PhD in Mechanical Engineering or related disciplines with knowledge of data scienceProficiency in basics of programming languages such as Matlab, C, JAVA or PythonExperience in writing technical reports and standardsTeam player with good interpersonal and communication skillsPrior knowledge in 3D printing process is preferable",5000.0,7000.0,6000.0
"Contract, Full Time", Senior Research Engineer (Computer Science),NANYANG TECHNOLOGICAL UNIVERSITY,Posted 26 Mar 2020,Monthly,5 years  exp,Manager,Information Technology,"Design and implement natural language processing (NLP) algorithms and models for semantic analysis, e.g., topic modeling, embedding, named-entity recognition, coreference resolution and parsing, and ontology and knowledge graph constructionsApplication of NLP in knowledge and information retrieval (IR) and relevancy ranking with spatiotemporal considerationConduct âtranslationalâ research to apply the state-of-the-art solutions at scale for real world challengesDocumentation and scientific reportingMentoring junior staff, PhD in computer scienceMinimum 5 years software development experienceExperience and excellent research background in NLPPassionate about NLP and AI related research, innovations and their applicationsProficient in one or more programming languages (e.g., Python, C/C++, etc.) and research packages/modulesExperience in large-scale text processing and analyticsGood track records in publication",5500.0,8250.0,6875.0
"Contract, Full Time","Senior /  Research Engineer (Machine Intellection), I2R",A*STAR RESEARCH ENTITIES,Posted 26 Mar 2020,Monthly,,Professional,Sciences / Laboratory / R&D,"Biomarker detection and clustering; andCorrelation analysis., 2/3D image segmentation;Image based measurement;Gene sequence analysis;Anomaly detection etc, Bachelors or Masters in Computer Science, Statistics, or Data Science intensive fieldsStrong knowledge in deep learning applied to healthcare domain;Expertise in one or more healthcare and medicine topics, such as survival rate prediction, biomarker detection, and image based segmentation, etc.Ability to work independently, as well as in teams highly desired.Good communication skills for proposals, reports, and publications.Proficiency in spoken and written English.Strong programming abilities (e.g. Perl, Bash, C/C++, Java, Python, R, MATLAB).Experience with one of TensorFlow, Pytorch, Theano, Caffe, CNTK SkillsExperience with machine learning at scale is a plus",3900.0,7800.0,5850.0
"Contract, Full Time","Senior /  Research Engineer (Machine Intellection), I2R",A*STAR RESEARCH ENTITIES,Posted 26 Mar 2020,Monthly,,Fresh/entry level,Sciences / Laboratory / R&D,"Biomarker detection and clustering; andCorrelation analysis., 2/3D image segmentation;Image based measurement;Gene sequence analysis;Anomaly detection etc, Bachelors or Masters in Computer Science, Statistics, or Data Science intensive fieldsStrong knowledge in deep learning applied to healthcare domain;Expertise in one or more healthcare and medicine topics, such as survival rate prediction, biomarker detection, and image based segmentation, etc.Ability to work independently, as well as in teams highly desired.Good communication skills for proposals, reports, and publications.Proficiency in spoken and written English.Strong programming abilities (e.g. Perl, Bash, C/C++, Java, Python, R, MATLAB).Experience with one of TensorFlow, Pytorch, Theano, Caffe, CNTK SkillsExperience with machine learning at scale is a plus",3000.0,5500.0,4250.0
Full Time,ENGINEER - F10 DATA SCIENCE,MICRON SEMICONDUCTOR ASIA OPERATIONS PTE. LTD.,Posted 25 Mar 2020,Monthly,2 years  exp,Fresh/entry level,Engineering,,3400.0,6500.0,4950.0
Permanent,Data Science & AI Programme Manager,GOVERNMENT TECHNOLOGY AGENCY,Posted 25 Mar 2020,Monthly,,Middle Management,"Information Technology, Public / Civil Service"," Drive multiple projects concurrently with the overall aim to improve capabilities of public officers across the Whole-of-Government in Data Science Develop a strategic sense of key organisations, software and hardware tools, methodologies and best practices in the Data Science & AI landscape Forge strong partnerships with such key industry players to gain support and involvement in capability development efforts Collaborate with organisations and invite luminaries to engage the Data Science & AI community of public officers through training workshops, sharing sessions, and masterclasses on Data Science-related skills Strategize, call and maintain the bulk tender options of Data Science & AI tools for the Whole-of-Government to tap on Manage all aspects of assigned projects independently, includingâbut not limited toâprogramme execution and budgeting ,  Degree or Diploma in Computer Science, Information Technology or the equivalent Minimum 3 years of relevant experience in IT consulting/project management or business analytics Experience working on large-scale projects from conception to implementation, handling all aspects from planning to budgeting, to stakeholder management Good understanding of procurement processes, especially in a government context Confident in public speaking to a diverse audience group from staff level to senior executives Strong understanding of the different elements of Data Science & AI, Big Data architecture, and the common tools and products associated with it Excellent English language skills, both oral and written Comfortable to work independently with minimum supervision Knowledge of Data Science tools, experience working in Data Science & AI domain, or prior experience in engaging public officers and government agencies on projects and collaborations is an added advantage ",5500.0,8000.0,6750.0
Full Time,Software Architect (Data Science),YOJEE PTE. LTD.,Posted 25 Mar 2020,Monthly,2 years  exp,Executive,Engineering,"Prototyping faster & more scalable machine learning and heuristic optimisation algorithms using cutting edge research to solve logisticsâ problems such as finding the best possible, or cost efficient routes, multi modal route planning, NP-hard problems, etc.Build and maintain a scalable data pipeline to consume data from multiple sources.Basic data cleansing and preparation.Build analysis and visualisation for business purposes and sales pitches.Build solutions using Big Data technologies to crunch potentially enormous data and respond with meaningful results in real time., Minimum Bachelor Degree in Computer Science or Computer Engineering or its equivalent related experience.Minimum 2 years of experience in machine learning and data analysis.Proficient in software programming and database skills; Python, Scala, Java, SQL, scikit-learn, MapReduce, Spark, Apache Hadoop.Knowledge of Big Data Frameworks such as Spark, Hadoop, etc.Proficient and experienced working with statistical models; Regression, Clustering, Classification, etc.Experience working with agile software development practices.Ability to work in a globally distributed team.Singaporeans and PRs are encouraged to apply for this position., Scikit-learn.Machine learning experience.Scala, Java.Proficient and experienced working with statistical models; Regression, Clustering, Classification, etc.",5700.0,7400.0,6550.0
Full Time,Manager (Data Security) (JD#5939),SCIENTE INTERNATIONAL PTE. LTD.,Posted 25 Mar 2020,Monthly,5 years  exp,Manager,Information Technology,"Degree in Computer Science, Engineering, Information Technology, Information Security, Data Science;Minimum 3 years of relevant experience in Data security, governance, policies, framework and standards;Good knowledge of Information Security, Governance, Risk Management, Compliance and Regulatory related work;Knowledge of the industry standards and its challenges in managing data security risk as a result of data sharing and data exchange;Some understanding taking a concept to successful implementation;Ability to help define and articulate the enterprise data security strategic vision and translate it into tactical implementable steps;Well versed in stakeholder management with excellent communication skills;Should be resourceful, analytical and proactive in nature., CISSP, CISM, CISA certifications;Experience in data science and data platforms., Design and implement the enterprise level data security framework, standards, guidelines and processes to enable secure data sharing;Work with key partners to operationalise the Data Security policies to support the Enterprise Data Ecosystem;Ensure the compliance across the enterprise and assess the risk (both upstream and downstream) involved in noncompliance;Understand the data flows/lineage of data sources to support the enhancement and transformation of data management practices to use data securely;Engage with different levels of stakeholders and data owners to enhance data security capabilities and practices;Work with Security Practitioners to ensure proper data exchange, data protection and prevent data compromise.",4500.0,8000.0,6250.0
"Contract, Full Time","Data Scientist (Scientific Infrastructure and Analytics), ICES",A*STAR RESEARCH ENTITIES,Posted 25 Mar 2020,Monthly,2 years  exp,Non-executive,Sciences / Laboratory / R&D,"Work with researchers to establish a data model to harmonise material, chemical, piloting and control information derived from analytical chemistry, catalyst development and chemistry/process developmentCollaborate with process owners, data stewards and IT to establish a data management process with the appropriate governance to sustain the accuracy and completeness of data.Apply data sciences methodologies techniques to build knowledge management, predictive analytics, and identifying trends in scientific and operational datasets.Work with management to develop a data sciences strategy and framework including but not limited to identifying and capturing data needed to solve complex chemistry/process issues, data cataloguing, storage, compute, processing, analysis, search, and visualizations for reporting, dashboards, and self-service.Work with researchers to create and maintain libraries of data tools to aid and enhance efficiency and effectiveness of research activities in ICESAct as a consultant to project teams for application of process modeling in support of catalyst and chemistry/process development.Support building a data-driven culture and data-driven organization, conducive to data-driven decision making, quantitative analysisBe able to develop analytical methods to apply to business problems involving large quantities of data, choosing the right algorithms, appropriate optimization techniques, and modelsActively engage, partner with, and form alliances both internal and external between business, IT, and vendor stakeholders to cultivate a network of data partners, PhD or Masters Degree in Science, Computer Science or related domain preferred. (Experience 2-5 years (PhD), 5 years or more (Masters)Ability with strong drive to manage, develop and improve processes, operations and technology to provide solutions to highly complex problems and apply a high degree of ingenuity, creativity and innovation.Working knowledge and experience on large data management and analysis as well as strategies for visualization and communicationStrong foundation in statistical analysis, programming, data mining, database management, data security, data visualization, and applied data science.Knowledge of querying, programming languages and platforms such as R, Python, JAVA, C++, Python, .NET, and SQLWorking experience and knowledge on artificial intelligence techniques, including Artificial Neural Networks (ANNs), Genetic Algorithms (GAs), Swarm Intelligence, Multi-objective Optimizations, and Fuzzy Logic SystemsGood foundational understanding of chemistry or chemical engineering is desirableExcellent communication skills, both oral and writtenFlexibility to respond quickly to changing job demands and prioritize multiple responsibilitiesAbility to plan/organize tasks and consistently produce high quality results and documentationAbility to work efficiently in a multi-disciplined, cross-functional environment",4500.0,9000.0,6750.0
"Permanent, Full Time","Senior Manager, Analytics Products and Services",STARHUB LTD.,Posted 25 Mar 2020,Monthly,10 years  exp,Senior Management,Others,,9000.0,11500.0,10250.0
Full Time,"Infrastructure Engineer, Infrastructure Data & Platform",GOVERNMENT TECHNOLOGY AGENCY,Posted 25 Mar 2020,Monthly,,Middle Management,"Information Technology, Public / Civil Service","  Key contributor for the building and management of new data platform for Whole-Of-Government services   Responsible for the development of real-time and batch data processing pipelines to clean, supply and scale data to the Data Analysts team   Collaborate with stakeholders to understand problem statements and business requirement, to implement innovative and engaging big data solutions to be consumed by Whole-Of-Government  ,   Degree in Computer Science, Computer or Electronics Engineering or Information Technology or related disciplines   Minimum 3 years of relevant IT experience in deploying and managing complex IT infrastructure systems and services or related roles   Familiar with distributed processing frameworks such as Spark   Good understanding of programming languages such as Python, Java and Scala   Strong command of SQL and NoSQL database concepts   Experience with data warehousing   The following are added advantages:   Building data pipelines, either programmatically or through the use of ETL tools such as Informatica, NiFi and Flink   Ability to deploy, manage, and administer Hadoop distributions such as Hortonworks and Cloudera   Experience with data science related libraries in Python such as Pandas, Numpy, and Seaborn   Understand and have experience in ICT domain such as Enterprise networking, messaging infra and ADPowershell / Bash scripting     ,   Building data pipelines, either programmatically or through the use of ETL tools such as Informatica, NiFi and Flink   Ability to deploy, manage, and administer Hadoop distributions such as Hortonworks and Cloudera   Experience with data science related libraries in Python such as Pandas, Numpy, and Seaborn   Understand and have experience in ICT domain such as Enterprise networking, messaging infra and ADPowershell / Bash scripting   ,   Good team player with strong analytical and problem solving ability  ",5000.0,10000.0,7500.0
Contract,Cloudera Adminstrator,INFOSYS COMPAZ PTE. LTD.,Posted 25 Mar 2020,Monthly,7 years  exp,Manager,Information Technology,"Willingness to test out and learn new technical      solutionsStrong attention to detailFlexible to work in cross functional team, Fast learner and a team playerGood verbal and communication skills",6000.0,9000.0,7500.0
"Permanent, Full Time","Manager, Digital Experience - Global Finance",JOHNSON & JOHNSON PTE. LTD.,Posted 25 Mar 2020,Monthly,5 years  exp,Manager,Information Technology,"Identify and translate conceptual user journey, design and user requirements into feasible solutions to project team, solution designers and developersFormulate and define detailed project scope, use cases, requirements, wireframes and journey mapsDevelop design and digital initiatives factoring Human Centric experiences to improve user experienceUnderstanding of data Science capabilities for Recommendation Engine, collaboration and other cognitive capabilities of digital platformManage and engage SMEs, internal stakeholders, IT, wider development teams, data analytics teams and other partnersDrive innovation with experimentation, Iterative hypothesis testing and validation, prototyping and creative thinkingWork with peers, stakeholders to prioritize incident management and resolutionDefine and execute change management and training activitiesMaintain a product backlog and continuously improve the features of the digital platformDigital Platform GovernanceKeep up-to-date with latest technology trends in the space of data analytics and data science, 5 to 8 years of relevant experience in the areas of digital transformation, UX design and human-machine collaborationExperience in Design Thinking / Human-centred DesignOperational excellence mind-set and experience, data driven, excellent problem-solving skills and adept at simplifying complexity and developing scalable propositionsProven track record of taking ownership and driving results. Ability to effectively lead and work with a variety of organizations, management levels, cultures, and personalitiesExceptional interpersonal and communication (both written and verbal) skills. Experience communicating with both technical and non-technical stakeholders across multiple teamsEnergetic, highly organized, assertive with good negotiation and problem-solving skills to deal in situations whereby groups may not agree on every point, and to intervene and escalate when necessaryWorking knowledge of digital platform or BI platformStrong skills in program management, planning and project implementationStrong sense of ownership and entrepreneurship spirit to get things doneGood techno-functional skillsAdvanced quantitative and analytical skillsStructured thinking and strong problem-solving capabilityResult oriented and driven to succeedWorking understanding of Agile methodologyIndividual with consulting background is preferred but not a mustAbility to lead and inspire individuals, foster teamwork and drive for common goals and achievementsGood written and oral communication skills",8000.0,16000.0,12000.0
Full Time,DevOps Engineer (Enterprise Information Management),GOVERNMENT TECHNOLOGY AGENCY,Posted 25 Mar 2020,Monthly,,Middle Management,"Information Technology, Public / Civil Service","    Provide production and operational support for a 24x7 system       Participate in planning, evaluating, building and maintaining new big data infrastructure and development platform for analytics and data science       Develop automation code for deployment and integrate new components in the system       Perform automated deployments to existing or new infrastructure environments       Build Continuous Integration and Delivery (CI/CD) pipeline for applications       Liaise with 3rd party software/hardware vendors to manage and resolve incidents and technical issues    ,  Degree or Diploma in Computer Science, Information Technology or related disciplines Hands-on experience in SQL and Microsoft technologies, preferably for Business Intelligence and data management, using tools including, but not limited to:  SQL Server Integration Services (SSIS) SQL Server Analytics Services (SSAS) SQL Server Reporting Services (SSRS) Power BI Sharepoint  Team Foundation Studio JIRA   Experience in one or more of the following will be an added advantage:  Virtualisation (e.g. VMWare VSphere family of products) Container Technologies (e.g. Docker) Secure code review / Automated testing Big Data platforms (e.g. Hadoop, Git) Scripting languages (e.g. PowerShell, R, Python) .NET programming Agile Continuous Integration tools   Team player with good communication (interpersonal and verbal) skills ,  SQL Server Integration Services (SSIS) SQL Server Analytics Services (SSAS) SQL Server Reporting Services (SSRS) Power BI Sharepoint  Team Foundation Studio JIRA ,  Virtualisation (e.g. VMWare VSphere family of products) Container Technologies (e.g. Docker) Secure code review / Automated testing Big Data platforms (e.g. Hadoop, Git) Scripting languages (e.g. PowerShell, R, Python) .NET programming Agile Continuous Integration tools ",5000.0,8000.0,6500.0
"Permanent, Full Time",Lead Data Scientist (Fintech),MANPOWER STAFFING SERVICES (SINGAPORE) PTE LTD,Posted 25 Mar 2020,Monthly,7 years  exp,Manager,"Consulting, Information Technology, Sciences / Laboratory / R&D","Lead the development and validation of high-impact statistical and machine learning quantitative models used to enhance product features and solutions of real-world issuesContribute to product design and architecture planning of major systems and featuresGuide and mentor a multi-disciplined Data Science and Data Engineering team to forge a research-oriented and collaborative culture through innovative technology implementation at scaleWork in a fast-paced environment with tight deliverable timeframes and able to communicate effectively with multiple stakeholders, Working experience in Singapore needed7 or more years of relevant work experience including at least 1 year of exposure to payments, banking or FinTechMinimum Masters or PhD, or equivalent experience in a quantitative field (Computer Science, Mathematics, Engineering, Artificial Intelligence, etc.)Advanced knowledge of statistical and machine learning models: Logistic Regression, Support Vector Machines, random forests, XGBoost, Deep Learning models (CNNs/RNNs)Proficient in scikit-learn in Python, Pandas, Hadoop, Spark, SQL, etc.Proficiency in using Amazon Web ServicesProficiency in using Neo4J, OrientDB, AllegroGraph, JanusDB, etc.Additional advantage with proficiency in Natural Language ProcessingAdditional advantage with proficiency in using Keras, TensorFlow, Caffe, Torch/PyTorch, Spark MLlib, or any other Deep Learning frameworkTrack record in leading data science projects and delivering from end to end.",8000.0,10000.0,9000.0
Full Time,"Software Engineer, Artificial Intelligence Platforms",GOVERNMENT TECHNOLOGY AGENCY,Posted 25 Mar 2020,Monthly,,Middle Management,"Information Technology, Public / Civil Service","  Build prototypes to demonstrate technology opportunities   Design system architectures   Write production quality code, and   Manage deployments to cloud and (occasionally) on-premise infrastructure   Learn and share knowledge in a multi-disciplinary team  ,   Establish best practices   Share your expertise and mentor other engineers   Help with recruiting  ,   Rapid Prototyping - Instead of spending too much time debating ideas we prefer testing them. This identifies potential problems quickly, and more importantly, conveys what is possible to others easily.   Ownership - In addition to technical responsibilities, this means having opinions on what is being done and having ideas on what should be done next. Building something that you believe in is the best way to build something good.   Continuous Learning - Working on new ideas often means not fully understanding what you are working on. Taking time to learn new architectures, frameworks, technologies, and even languages is not just encouraged but essential.  ,   Have a demonstrated ability to build software   Can write code to solve abstract problems   Can talk and reason about code with other engineers   Have an interest in data science and machine learning   Take the initiative to make things happen   Want to work for the public good  ",5000.0,8500.0,6750.0
Permanent,Business Intelligence and Robotic Process Automation â Associate ,ALLEGIS GROUP SINGAPORE PRIVATE LIMITED,Posted 25 Mar 2020,Monthly,5 years  exp,Senior Executive,"Banking and Finance, Information Technology","You will be one of the founding members of the new innovation center. You will directly impact the process design and delivery of regional automation projects.You will be leveraging data analytics and knowledge in statistics, machine learning, data science, process re-engineering to deliver business solutions.The role sits in Operations division, which partners with all other divisions of the firm to provide sales & trading and asset management capabilities across offices regionally and globally., Graduate or Undergraduate degree in Computer Science or StatisticsExperience in Robotics Process Automation (Blueprism, Automation Anywhere, UiPath)Proficient in different Business intelligence tools (Alteryx, Tableau, QlikSense, QlikView etc.)Proficient in ETL and database development (Python, SQL, Java, R, C#, etc.)Driven, self-motivated with excellent project management skills",9000.0,16000.0,12500.0
Permanent,Business Intelligence and Robotic Process Automation â Analyst ,ALLEGIS GROUP SINGAPORE PRIVATE LIMITED,Posted 25 Mar 2020,Monthly,1 year  exp,Junior Executive,"Banking and Finance, Information Technology","You will be one of the founding members of the new innovation center. You will directly impact the process design and delivery of regional automation projects.You will be leveraging data analytics and knowledge in statistics, machine learning, data science, process re-engineering to deliver business solutions.The role sits in Operations division, which partners with all other divisions of the firm to provide sales & trading and asset management capabilities across offices regionally and globally., Graduate or Undergraduate degree in Computer Science or StatisticsExperience in Robotics Process Automation (Blueprism, Automation Anywhere, UiPath)Proficient in different Business intelligence tools (Alteryx, Tableau, QlikSense, QlikView etc.)Proficient in ETL and database development (Python, SQL, Java, R, C#, etc.)Driven, self-motivated with excellent project management skills",4000.0,8000.0,6000.0
Permanent,Senior Solutions Consultant - Marketing & Decisioning ,PEGASYSTEMS PTE LTD,Posted 25 Mar 2020,Monthly,6 years  exp,Professional,"Consulting, Engineering, Information Technology, Marketing / Public Relations, Others","Related Bachelors degree8 to 10+ years software    industry experience8 to 10+ years    Sales / Pre Sales experience3 to 5+ yearâs experience with B2C MarTech solutions, for example Pega, Chordiant, Adobe, SAS Customer Intelligence, Salesforce Marketing Cloud, Unica or equivalent; alternatively, hands experience with operationalization and customer friendly monetization of data science and AIExperience in inbound, event based or real time marketing; or alternatively with responsible AI & Data Science in a customer marketing, sales or service contextAbility to work as part of a team to solve problems in dynamic, creative environmentsDisplay initiative, self-motivation and high-quality results along with meeting all expectations for both internal and external customersPega or other equivalent technology experience/accreditation, Worked with sales personnel to develop customer-specific solutions to complex problemsDelivered POCs and custom demonstrations and educated customers on product capabilities4-8 years of thought leadership in technology4-8 years of experience developing solutions and selling enterprise software solutions, A rapidly growing yet well-established businessThe worldâs most innovative organizations as reference-able clientsAnalyst acclaimed technology leadership in a massive emerging marketA fast-paced, exciting,   collaborative, and rewarding sales environment within innovative industries",11250.0,16000.0,13625.0
"Contract, Full Time",Digital Product Specialist (Banking),OPTIMUM SOLUTIONS (SINGAPORE) PTE LTD,Posted 25 Mar 2020,Monthly,8 years  exp,Professional,Information Technology,"Masters the fundamentals of multiple core capabilities of CUSTOMER JOURNEY, i.e. Customer Experience & Journey optimization, Products and Services, Channel and/or Segment Optimization and Business to IT DeliveryDevelops, manages, harmonizes and phases out the customer processes of products and services, as well as everyday customer salesNew product/ service or product/ service improvements propositions lead to higher turnover and higher customer satisfaction. (New) propositions are approved by risk, compliance and legalImprovements or new ideas are turned into concrete implementations. Customer satisfactionUses his/her technical expertise and experience to contribute to all sprint events (planning, refinements, retrospectives, demos)Applies profound product/ service knowledge to develop and maintain an attractive and compliant value proposition and delivery excellence for customersKeeps track of and analyses market and competition developments (in the area of cost price, market price, market share, legislation and regulations, technological developments, distribution methods and other areas)Weighs up development of new products and services against procurement of possible sub-products. Initiates customer researchPrioritizes the backlog regarding strategy, customer interests and feasibility in his or her role as product owner and in consultation with the Digital Studio leadMonitors the planning, budget and requirements and completes backlog items during squad sprints, Minimum of 7-10 years of banking experience, other related project work experience, or demonstration of high level of understanding of the banking industryMinimum of 3-5 years of experience gathering requirements and translating into user requirements, data engineering, data science, or software engineering experienceBackground in engineering, technology, or UX preferredExperience as a Product Owner / Product Manager with software productsStrong knowledge of software development lifecycleExperience in Agile methodologiesStrong negotiation and leadership skillsExcellent communication and presentation skills with a high degree of comfort in speaking with senior leadersMust be a strong collaborator, team player, and individual contributorStrong analytical and quantitative skillsDemonstrated ability to think both strategically and tacticallyBrings a high-energy and passionate outlook to the job and can influence those around themAble to build a sense of trust and rapport that creates a comfortable & effective workplacePassion for innovation and âcan doâ attitude",10000.0,12000.0,11000.0
