Emp_Type,Job_Title,Company,Year_Experience,Seniority,Category,Requirements,Min_Salary,Max_Salary,Avg_Salary,Cat_num
"Contract, Permanent","Research Engineer (Deep Learning 2.0), I2R",A*STAR RESEARCH ENTITIES,,Fresh/entry level,"Sciences , Laboratory , R&D","   Minimum Bachelor in Computer Science, Statistics, or Data Science intensive fields, with expertise in one or more of the following areas: ,  Experience in corporate or application oriented environments is a plus Ability to work independently, as well as in teams highly desired Good communication skills for proposals, reports, and publications Experience with one of Tensor Flow, Theano, Caffe, CNTK. Skills Strong programming abilities (e.g. Perl, Bash, C/C++, Java, Python, R, MATLAB) Computer vision and deep learning skills desirable   ",3900.0,7800.0,5850.0,2
"Contract, Permanent", Senior Research Engineer (Computer Science),NANYANG TECHNOLOGICAL UNIVERSITY,5 years  exp,Manager,Information Technology,"   Design and implement natural language processing (NLP) algorithms and models for semantic analysis, e.g., topic modeling, embedding, named-entity recognition, coreference resolution and parsing, and ontology and knowledge graph constructions Application of NLP in knowledge and information retrieval (IR) and relevancy ranking with spatiotemporal consideration Conduct âtranslationalâ research to apply the state-of-the-art solutions at scale for real world challenges Documentation and scientific reporting Mentoring junior staff ,  PhD in computer science Minimum 5 years software development experience Experience and excellent research background in NLP Passionate about NLP and AI related research, innovations and their applications Proficient in one or more programming languages (e.g., Python, C/C++, etc.) and research packages/modules Experience in large-scale text processing and analytics Good track records in publication   ",5500.0,8250.0,6875.0,0
"Contract, Permanent","Senior /  Research Engineer (Machine Intellection), I2R",A*STAR RESEARCH ENTITIES,,Professional,"Sciences , Laboratory , R&D","   Biomarker detection and clustering; and Correlation analysis. ,  2/3D image segmentation; Image based measurement; Gene sequence analysis; Anomaly detection etc ,  Bachelors or Masters in Computer Science, Statistics, or Data Science intensive fields Strong knowledge in deep learning applied to healthcare domain; Expertise in one or more healthcare and medicine topics, such as survival rate prediction, biomarker detection, and image based segmentation, etc. Ability to work independently, as well as in teams highly desired. Good communication skills for proposals, reports, and publications. Proficiency in spoken and written English. Strong programming abilities (e.g. Perl, Bash, C/C++, Java, Python, R, MATLAB). Experience with one of TensorFlow, Pytorch, Theano, Caffe, CNTK Skills Experience with machine learning at scale is a plus   ",3900.0,7800.0,5850.0,2
"Contract, Permanent","Senior /  Research Engineer (Machine Intellection), I2R",A*STAR RESEARCH ENTITIES,,Fresh/entry level,"Sciences , Laboratory , R&D","   Biomarker detection and clustering; and Correlation analysis. ,  2/3D image segmentation; Image based measurement; Gene sequence analysis; Anomaly detection etc ,  Bachelors or Masters in Computer Science, Statistics, or Data Science intensive fields Strong knowledge in deep learning applied to healthcare domain; Expertise in one or more healthcare and medicine topics, such as survival rate prediction, biomarker detection, and image based segmentation, etc. Ability to work independently, as well as in teams highly desired. Good communication skills for proposals, reports, and publications. Proficiency in spoken and written English. Strong programming abilities (e.g. Perl, Bash, C/C++, Java, Python, R, MATLAB). Experience with one of TensorFlow, Pytorch, Theano, Caffe, CNTK Skills Experience with machine learning at scale is a plus   ",3000.0,5500.0,4250.0,2
Permanent,ENGINEER - F10 DATA SCIENCE,MICRON SEMICONDUCTOR ASIA OPERATIONS PTE. LTD.,2 years  exp,Fresh/entry level,Engineering,  ,3400.0,6500.0,4950.0,0
Permanent,Data Science & AI Programme Manager,GOVERNMENT TECHNOLOGY AGENCY,,Middle Management,"Information Technology, Public , Civil Service","   Drive multiple projects concurrently with the overall aim to improve capabilities of public officers across the Whole-of-Government in Data Science Develop a strategic sense of key organisations, software and hardware tools, methodologies and best practices in the Data Science & AI landscape Forge strong partnerships with such key industry players to gain support and involvement in capability development efforts Collaborate with organisations and invite luminaries to engage the Data Science & AI community of public officers through training workshops, sharing sessions, and masterclasses on Data Science-related skills Strategize, call and maintain the bulk tender options of Data Science & AI tools for the Whole-of-Government to tap on Manage all aspects of assigned projects independently, includingâbut not limited toâprogramme execution and budgeting ,  Degree or Diploma in Computer Science, Information Technology or the equivalent Minimum 3 years of relevant experience in IT consulting/project management or business analytics Experience working on large-scale projects from conception to implementation, handling all aspects from planning to budgeting, to stakeholder management Good understanding of procurement processes, especially in a government context Confident in public speaking to a diverse audience group from staff level to senior executives Strong understanding of the different elements of Data Science & AI, Big Data architecture, and the common tools and products associated with it Excellent English language skills, both oral and written Comfortable to work independently with minimum supervision Knowledge of Data Science tools, experience working in Data Science & AI domain, or prior experience in engaging public officers and government agencies on projects and collaborations is an added advantage   ",5500.0,8000.0,6750.0,2
Permanent,Manager (Data Security) (JD#5939),SCIENTE INTERNATIONAL PTE. LTD.,5 years  exp,Manager,Information Technology,"   Degree in Computer Science, Engineering, Information Technology, Information Security, Data Science; Minimum 3 years of relevant experience in Data security, governance, policies, framework and standards; Good knowledge of Information Security, Governance, Risk Management, Compliance and Regulatory related work; Knowledge of the industry standards and its challenges in managing data security risk as a result of data sharing and data exchange; Some understanding taking a concept to successful implementation; Ability to help define and articulate the enterprise data security strategic vision and translate it into tactical implementable steps; Well versed in stakeholder management with excellent communication skills; Should be resourceful, analytical and proactive in nature. ,  CISSP, CISM, CISA certifications; Experience in data science and data platforms. ,  Design and implement the enterprise level data security framework, standards, guidelines and processes to enable secure data sharing; Work with key partners to operationalise the Data Security policies to support the Enterprise Data Ecosystem; Ensure the compliance across the enterprise and assess the risk (both upstream and downstream) involved in noncompliance; Understand the data flows/lineage of data sources to support the enhancement and transformation of data management practices to use data securely; Engage with different levels of stakeholders and data owners to enhance data security capabilities and practices; Work with Security Practitioners to ensure proper data exchange, data protection and prevent data compromise.   ",4500.0,8000.0,6250.0,0
"Contract, Permanent","Data Scientist (Scientific Infrastructure and Analytics), ICES",A*STAR RESEARCH ENTITIES,2 years  exp,Non-executive,"Sciences , Laboratory , R&D","   Work with researchers to establish a data model to harmonise material, chemical, piloting and control information derived from analytical chemistry, catalyst development and chemistry/process development Collaborate with process owners, data stewards and IT to establish a data management process with the appropriate governance to sustain the accuracy and completeness of data. Apply data sciences methodologies techniques to build knowledge management, predictive analytics, and identifying trends in scientific and operational datasets. Work with management to develop a data sciences strategy and framework including but not limited to identifying and capturing data needed to solve complex chemistry/process issues, data cataloguing, storage, compute, processing, analysis, search, and visualizations for reporting, dashboards, and self-service. Work with researchers to create and maintain libraries of data tools to aid and enhance efficiency and effectiveness of research activities in ICES Act as a consultant to project teams for application of process modeling in support of catalyst and chemistry/process development. Support building a data-driven culture and data-driven organization, conducive to data-driven decision making, quantitative analysis Be able to develop analytical methods to apply to business problems involving large quantities of data, choosing the right algorithms, appropriate optimization techniques, and models Actively engage, partner with, and form alliances both internal and external between business, IT, and vendor stakeholders to cultivate a network of data partners ,  PhD or Masters Degree in Science, Computer Science or related domain preferred. (Experience 2-5 years (PhD), 5 years or more (Masters)  Ability with strong drive to manage, develop and improve processes, operations and technology to provide solutions to highly complex problems and apply a high degree of ingenuity, creativity and innovation.  Working knowledge and experience on large data management and analysis as well as strategies for visualization and communication  Strong foundation in statistical analysis, programming, data mining, database management, data security, data visualization, and applied data science.  Knowledge of querying, programming languages and platforms such as R, Python, JAVA, C++, Python, .NET, and SQL  Working experience and knowledge on artificial intelligence techniques, including Artificial Neural Networks (ANNs), Genetic Algorithms (GAs), Swarm Intelligence, Multi-objective Optimizations, and Fuzzy Logic Systems  Good foundational understanding of chemistry or chemical engineering is desirable  Excellent communication skills, both oral and written  Flexibility to respond quickly to changing job demands and prioritize multiple responsibilities  Ability to plan/organize tasks and consistently produce high quality results and documentation  Ability to work efficiently in a multi-disciplined, cross-functional environment    ",4500.0,9000.0,6750.0,2
Permanent,"Senior Manager, Analytics Products and Services",STARHUB LTD.,10 years  exp,Senior Management,Others,    ,9000.0,11500.0,10250.0,0
Permanent,"Infrastructure Engineer, Infrastructure Data & Platform",GOVERNMENT TECHNOLOGY AGENCY,,Middle Management,"Information Technology, Public , Civil Service","    Key contributor for the building and management of new data platform for Whole-Of-Government services   Responsible for the development of real-time and batch data processing pipelines to clean, supply and scale data to the Data Analysts team   Collaborate with stakeholders to understand problem statements and business requirement, to implement innovative and engaging big data solutions to be consumed by Whole-Of-Government  ,   Degree in Computer Science, Computer or Electronics Engineering or Information Technology or related disciplines   Minimum 3 years of relevant IT experience in deploying and managing complex IT infrastructure systems and services or related roles   Familiar with distributed processing frameworks such as Spark   Good understanding of programming languages such as Python, Java and Scala   Strong command of SQL and NoSQL database concepts   Experience with data warehousing   The following are added advantages:   Building data pipelines, either programmatically or through the use of ETL tools such as Informatica, NiFi and Flink   Ability to deploy, manage, and administer Hadoop distributions such as Hortonworks and Cloudera   Experience with data science related libraries in Python such as Pandas, Numpy, and Seaborn   Understand and have experience in ICT domain such as Enterprise networking, messaging infra and ADPowershell / Bash scripting     ,   Building data pipelines, either programmatically or through the use of ETL tools such as Informatica, NiFi and Flink   Ability to deploy, manage, and administer Hadoop distributions such as Hortonworks and Cloudera   Experience with data science related libraries in Python such as Pandas, Numpy, and Seaborn   Understand and have experience in ICT domain such as Enterprise networking, messaging infra and ADPowershell / Bash scripting   ,   Good team player with strong analytical and problem solving ability    ",5000.0,10000.0,7500.0,2
Permanent,"Manager, Digital Experience - Global Finance",JOHNSON & JOHNSON PTE. LTD.,5 years  exp,Manager,Information Technology,"   Identify and translate conceptual user journey, design and user requirements into feasible solutions to project team, solution designers and developers Formulate and define detailed project scope, use cases, requirements, wireframes and journey maps Develop design and digital initiatives factoring Human Centric experiences to improve user experience Understanding of data Science capabilities for Recommendation Engine, collaboration and other cognitive capabilities of digital platform Manage and engage SMEs, internal stakeholders, IT, wider development teams, data analytics teams and other partners Drive innovation with experimentation, Iterative hypothesis testing and validation, prototyping and creative thinking Work with peers, stakeholders to prioritize incident management and resolution Define and execute change management and training activities Maintain a product backlog and continuously improve the features of the digital platform Digital Platform Governance Keep up-to-date with latest technology trends in the space of data analytics and data science ,  5 to 8 years of relevant experience in the areas of digital transformation, UX design and human-machine collaboration Experience in Design Thinking / Human-centred Design Operational excellence mind-set and experience, data driven, excellent problem-solving skills and adept at simplifying complexity and developing scalable propositions Proven track record of taking ownership and driving results. Ability to effectively lead and work with a variety of organizations, management levels, cultures, and personalities Exceptional interpersonal and communication (both written and verbal) skills. Experience communicating with both technical and non-technical stakeholders across multiple teams Energetic, highly organized, assertive with good negotiation and problem-solving skills to deal in situations whereby groups may not agree on every point, and to intervene and escalate when necessary Working knowledge of digital platform or BI platform Strong skills in program management, planning and project implementation Strong sense of ownership and entrepreneurship spirit to get things done Good techno-functional skills Advanced quantitative and analytical skills Structured thinking and strong problem-solving capability Result oriented and driven to succeed Working understanding of Agile methodology Individual with consulting background is preferred but not a must Ability to lead and inspire individuals, foster teamwork and drive for common goals and achievements Good written and oral communication skills   ",8000.0,16000.0,12000.0,0
Permanent,DevOps Engineer (Enterprise Information Management),GOVERNMENT TECHNOLOGY AGENCY,,Middle Management,"Information Technology, Public , Civil Service","      Provide production and operational support for a 24x7 system       Participate in planning, evaluating, building and maintaining new big data infrastructure and development platform for analytics and data science       Develop automation code for deployment and integrate new components in the system       Perform automated deployments to existing or new infrastructure environments       Build Continuous Integration and Delivery (CI/CD) pipeline for applications       Liaise with 3rd party software/hardware vendors to manage and resolve incidents and technical issues    ,  Degree or Diploma in Computer Science, Information Technology or related disciplines Hands-on experience in SQL and Microsoft technologies, preferably for Business Intelligence and data management, using tools including, but not limited to:  SQL Server Integration Services (SSIS) SQL Server Analytics Services (SSAS) SQL Server Reporting Services (SSRS) Power BI Sharepoint  Team Foundation Studio JIRA   Experience in one or more of the following will be an added advantage:  Virtualisation (e.g. VMWare VSphere family of products) Container Technologies (e.g. Docker) Secure code review / Automated testing Big Data platforms (e.g. Hadoop, Git) Scripting languages (e.g. PowerShell, R, Python) .NET programming Agile Continuous Integration tools   Team player with good communication (interpersonal and verbal) skills ,  SQL Server Integration Services (SSIS) SQL Server Analytics Services (SSAS) SQL Server Reporting Services (SSRS) Power BI Sharepoint  Team Foundation Studio JIRA ,  Virtualisation (e.g. VMWare VSphere family of products) Container Technologies (e.g. Docker) Secure code review / Automated testing Big Data platforms (e.g. Hadoop, Git) Scripting languages (e.g. PowerShell, R, Python) .NET programming Agile Continuous Integration tools   ",5000.0,8000.0,6500.0,2
Permanent,Lead Data Scientist (Fintech),MANPOWER STAFFING SERVICES (SINGAPORE) PTE LTD,7 years  exp,Manager,"Consulting, Information Technology, Sciences , Laboratory , R&D","   Lead the development and validation of high-impact statistical and machine learning quantitative models used to enhance product features and solutions of real-world issues Contribute to product design and architecture planning of major systems and features Guide and mentor a multi-disciplined Data Science and Data Engineering team to forge a research-oriented and collaborative culture through innovative technology implementation at scale Work in a fast-paced environment with tight deliverable timeframes and able to communicate effectively with multiple stakeholders ,  Working experience in Singapore needed 7 or more years of relevant work experience including at least 1 year of exposure to payments, banking or FinTech Minimum Masters or PhD, or equivalent experience in a quantitative field (Computer Science, Mathematics, Engineering, Artificial Intelligence, etc.) Advanced knowledge of statistical and machine learning models: Logistic Regression, Support Vector Machines, random forests, XGBoost, Deep Learning models (CNNs/RNNs) Proficient in scikit-learn in Python, Pandas, Hadoop, Spark, SQL, etc. Proficiency in using Amazon Web Services Proficiency in using Neo4J, OrientDB, AllegroGraph, JanusDB, etc. Additional advantage with proficiency in Natural Language Processing Additional advantage with proficiency in using Keras, TensorFlow, Caffe, Torch/PyTorch, Spark MLlib, or any other Deep Learning framework Track record in leading data science projects and delivering from end to end.   ",8000.0,10000.0,9000.0,4
Permanent,Business Intelligence and Robotic Process Automation â Associate ,ALLEGIS GROUP SINGAPORE PRIVATE LIMITED,5 years  exp,Senior Executive,"Banking , Finance, Information Technology","   You will be one of the founding members of the new innovation center. You will directly impact the process design and delivery of regional automation projects. You will be leveraging data analytics and knowledge in statistics, machine learning, data science, process re-engineering to deliver business solutions. The role sits in Operations division, which partners with all other divisions of the firm to provide sales & trading and asset management capabilities across offices regionally and globally. ,  Graduate or Undergraduate degree in Computer Science or Statistics Experience in Robotics Process Automation (Blueprism, Automation Anywhere, UiPath) Proficient in different Business intelligence tools (Alteryx, Tableau, QlikSense, QlikView etc.) Proficient in ETL and database development (Python, SQL, Java, R, C#, etc.) Driven, self-motivated with excellent project management skills   ",9000.0,16000.0,12500.0,2
Permanent,Business Intelligence and Robotic Process Automation â Analyst ,ALLEGIS GROUP SINGAPORE PRIVATE LIMITED,1 year  exp,Junior Executive,"Banking , Finance, Information Technology","   You will be one of the founding members of the new innovation center. You will directly impact the process design and delivery of regional automation projects. You will be leveraging data analytics and knowledge in statistics, machine learning, data science, process re-engineering to deliver business solutions. The role sits in Operations division, which partners with all other divisions of the firm to provide sales & trading and asset management capabilities across offices regionally and globally. ,  Graduate or Undergraduate degree in Computer Science or Statistics Experience in Robotics Process Automation (Blueprism, Automation Anywhere, UiPath) Proficient in different Business intelligence tools (Alteryx, Tableau, QlikSense, QlikView etc.) Proficient in ETL and database development (Python, SQL, Java, R, C#, etc.) Driven, self-motivated with excellent project management skills   ",4000.0,8000.0,6000.0,2
"Contract, Permanent",Digital Product Specialist (Banking),OPTIMUM SOLUTIONS (SINGAPORE) PTE LTD,8 years  exp,Professional,Information Technology,"   Masters the fundamentals of multiple core capabilities of CUSTOMER JOURNEY, i.e. Customer Experience & Journey optimization, Products and Services, Channel and/or Segment Optimization and Business to IT Delivery Develops, manages, harmonizes and phases out the customer processes of products and services, as well as everyday customer sales New product/ service or product/ service improvements propositions lead to higher turnover and higher customer satisfaction. (New) propositions are approved by risk, compliance and legal Improvements or new ideas are turned into concrete implementations. Customer satisfaction Uses his/her technical expertise and experience to contribute to all sprint events (planning, refinements, retrospectives, demos) Applies profound product/ service knowledge to develop and maintain an attractive and compliant value proposition and delivery excellence for customers Keeps track of and analyses market and competition developments (in the area of cost price, market price, market share, legislation and regulations, technological developments, distribution methods and other areas) Weighs up development of new products and services against procurement of possible sub-products. Initiates customer research Prioritizes the backlog regarding strategy, customer interests and feasibility in his or her role as product owner and in consultation with the Digital Studio lead Monitors the planning, budget and requirements and completes backlog items during squad sprints ,  Minimum of 7-10 years of banking experience, other related project work experience, or demonstration of high level of understanding of the banking industry Minimum of 3-5 years of experience gathering requirements and translating into user requirements, data engineering, data science, or software engineering experience Background in engineering, technology, or UX preferred Experience as a Product Owner / Product Manager with software products Strong knowledge of software development lifecycle Experience in Agile methodologies Strong negotiation and leadership skills Excellent communication and presentation skills with a high degree of comfort in speaking with senior leaders Must be a strong collaborator, team player, and individual contributor Strong analytical and quantitative skills Demonstrated ability to think both strategically and tactically Brings a high-energy and passionate outlook to the job and can influence those around them Able to build a sense of trust and rapport that creates a comfortable & effective workplace Passion for innovation and âcan doâ attitude   ",10000.0,12000.0,11000.0,0
Permanent,Investment Analyst,LEGEND ASSET MANAGEMENT PTE. LTD.,,Executive,"Banking , Finance","   We are the asset management arm of a privately-held corporation with interests in property, technology and services.  ,  Work with portfolio managers to generate actionable equity investment ideas using quantitative methods Develop, test and document models ,  Demonstrated passion for equities investment analysis Strong analytical and numerical skills Excellent communication skills and ability to clearly express complex technical issues and requirements Post-graduate qualification in applied mathematics, data science or business analytics Completed or in the process of completing the CFA Program   ",4500.0,6000.0,5250.0,1
"Contract, Permanent",IT - Data Science Analyst ,NTT DATA SINGAPORE PTE. LTD.,1 year  exp,Executive,Information Technology,"   A university degree or higher in Statistics/ Data Science/ Computing/Engineering, with a strong background in statistical concepts A good understanding of data analysis and machine learning, NLP concepts ,  Python, Pyspark, Spark SQL/mysql Hadoop eco-system (Hive, HDFS, Pig etc.) End to end data science workflow, starting from data extraction, wrangling, modelling and deployment in production environment Familiarity with Linux based operating system Knowledge of software development life cycle preferred Experience creating real time and rich data visualizations that involves large datasets Experience manipulating structured and unstructured data sources for analysis   ",5000.0,8500.0,6750.0,0
Permanent,Business Analyst ,STAFFONDEMAND PTE. LTD.,3 years  exp,Executive,Information Technology,"   Partner with Sales, Marketing and Product business units to understand their priorities on an ongoing basis Work with business, product and data engineering teams to plan, identify, collect and integrate data from multiple systems Automate workflows for feature engineering and model updating Develop machine learning models and perform statistical analysis to solve problems in the following domains: campaign planning, customer segmentation, acquisition and churn prevention, item recommendation, and marketing attribution Perform A/B testing and other advanced experiments to test your prototypes on marketing campaigns Communicate with machine learning engineers to support the deployment of your prototypes across the companyâs products Communicate analytical findings and recommendations to senior management and business stakeholders, via a mix of scrum sessions, online dashboards and Powerpoint presentations Design and architect the entire workflow of the algorithms that includes data inputs, outputs and database storage Develop scalable algorithms to measure key performance metrics Build scalable, efficient, and automated data processes to facilitate customer-facing reporting ,  Bachelor or Masters in Statistics, Mathematics, Computer Science, Operations Research, Physics, Economics, Knowledge Engineering, Data Analytics, or a related quantitative field Familiarity with consumer marketing, and with relevant industry experience in retail,consumer goods, ecommerce, technology, or consumer banking/insurance Solid understanding of statistical analysis, machine learning and experimental design Proficiency in R/Python is preferred. SQL or equivalent query languages in tools like Hive is must Experience interfacing with cloud platforms like AWS Redshift is an advantage Working knowledge of BI and visualization tools like Tableau/Qlik/Power BI Team player who is able to build strong partnerships and collaborations with the business Experience communicating complex data and insight to business audience Creative problem solving skills, to identify pain points, conceptualize solution while balance complexity and effort in process and technology changes Hands on experience with development of end-to-end data analytics solutions including data exploration/crawling, model building and performance evaluation   ",4500.0,7000.0,5750.0,0
Permanent,Senior Staff Data Scientist,SEAGATE SINGAPORE INTERNATIONAL HEADQUARTERS PTE. LTD.,7 years  exp,Professional,"Engineering, Manufacturing, Sciences , Laboratory , R&D","   Work with business unit subject matter experts to identify, prioritize and answer important business questions through the development of innovative algorithms and visualizations using modern analytical techniques in Data Mining, Machine Learning and Statistics Execute Industry 4.0 and Prognostics and Health Management projects for Seagate s APAC Operations stakeholders Technical lead of data science and manage analytics projects in the area of Deep Learning Develop data mining algorithms, perform data wrangling and exploration Design, develop and implement appropriate machine learning and deep learning algorithms to solve stakeholders  analytics challenges Leverage and/or develop innovative data mining and machine learning methods to solve novel and diverse business problems Quantify the effectiveness and value of innovations with subject matter experts Provide technical advice and coaching to the junior analytics staff ,  Highly proficient in Python, SQL, and R Solid technical knowledge in machine learning, deep learning, statistical algorithms, data mining and data structures Hands-on knowledge in Keras, Tensorflow, XGBoost, CNN, GAN, RNN, and Time Series Analysis Experience and knowledge in full-stack software development. Knowledge in Hadoop, Spark. Ability to deploy data science solutions in cloud analytics infrastructure Version control systems such as Git. Understanding of software development best practices Demonstrate Leadership skills â Ability to lead a team, mentor junior staff and close out technical projects Teamwork and self-motivated. Self-starter. Ability to drive initiatives and influence. Ability to work alone as well as in a team environment Strong oral and written communication skills. Strong business mindset, ability to condense complex analysis and technical concepts into clear and concise takeaways for business leaders A collaborative attitude and a global mindset with an ability to work well with native and non-native English speaker Able to participate in conference calls outside of regular local work hours ,  Working experience: Industrial IoT Sensing & Devices, Predictive Maintenance, Prognostics & Health Management, and other Industry 4.0 areas. Knowledge in Time-series analysis Thesis or research experience in topics related to predictive analytics such as data mining, pattern recognition, image processing, data-driven prognostics, fault diagnostics, time-series analysis, natural language processing, artificial intelligence, and machine learning Proficiency in Java and JavaScript would be a plus   ",7000.0,14000.0,10500.0,4
Permanent,Senior Data Scientist,TARAN ADVISORY PTE. LTD.,5 years  exp,Professional,"Banking , Finance, Risk Management",    ,7000.0,13000.0,10000.0,2
Permanent,Assistant Professor of Information Systems (Tenure Track),SINGAPORE MANAGEMENT UNIVERSITY,,Professional,"Education , Training",    ,9000.0,16000.0,12500.0,1
